,path,filename,subfolder,ichan,names,units,desc,mean,max,min,std,1%,50%,99%,del3,del4,del5,del8,del10,del12
0,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,1,Time,s,Time,400.00500000000005,700.0,100.01,173.2065241265467,106.0099,400.005,694.0001,56.461220696832804,101.94095564658248,145.3141021479786,247.3126644116573,295.27446240365197,332.31165620359167
1,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,2,bea1 angle,deg,shaft_rot angle,180.08564426181894,359.99029541015625,0.005971063859760761,103.91152029012211,3.6058329629898074,180.19849395751953,356.4081726074219,188.87647377396027,221.8815010219302,244.40809843101363,282.5860600222538,296.60126288376006,306.3303208718887
2,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,3,bea1 angle_speed,rpm,shaft_rot angle speed,8.703193789386749,9.3565034866333,8.290099143981934,0.18257595474365837,8.34381561279297,8.693695068359375,9.180481767654419,0.19360000073835162,0.27143648370516443,0.3405969619576703,0.49317203804166726,0.5637453017009674,0.6189959539759121
3,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,4,bea2 angle,deg,pitch1 angle,15.113862889321645,26.525177001953125,6.414883136749268,6.145475979121251,7.043740139007569,14.483549118041992,26.440877990722658,1.9216663551661939,3.42445778197132,4.872374034739098,8.289373743482127,9.89692612393486,11.138327444157206
4,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,5,bea2 angle_speed,deg/s,pitch1 angle speed,0.029048840350130913,1.1082959175109863,-0.6454094052314758,0.21601163981189647,-0.4339507880806923,0.014247328508645296,0.6644373178482057,0.4038775307617922,0.504527892500687,0.5978197397347264,0.8280389291011989,0.942117766652951,1.0321720868641242
5,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,6,bea2 angle,deg,pitch2 angle,15.113855794215203,26.525161743164062,6.414963245391846,6.1454674424737625,7.043644790649414,14.483502864837646,26.44086654663086,1.9216572422021567,3.424441542440181,4.872350928870987,8.2893344334507,9.896879190536874,11.13827462376143
6,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,7,bea2 angle_speed,deg/s,pitch2 angle speed,0.02904879066842628,1.108141541481018,-0.6452021598815918,0.2158994513884487,-0.4338940680027008,0.014245759695768356,0.6644333767890931,0.40355064635529764,0.5041687160213749,0.5974849313488396,0.8278113967635736,0.9419058506120807,1.0319542864081117
7,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,8,bea2 angle,deg,pitch3 angle,15.113855756354331,26.525171279907227,6.414937973022461,6.1454682578560025,7.043630957603455,14.483514308929443,26.440874176025392,1.9216605684340307,3.4244474698690475,4.872359362512848,8.289348781612171,9.896896321227139,11.138293903205888
8,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,9,bea2 angle_speed,deg/s,pitch3 angle speed,0.029048783472736543,1.1081421375274658,-0.645199179649353,0.2159174555114443,-0.4338945150375366,0.014258167706429958,0.664433652162552,0.40355009760965455,0.5041680304559104,0.5974841188925696,0.8278102711108175,0.9419045698144003,1.031952883163132
9,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,10,Omega,rad/s,Rotor speed,0.911398275761803,0.976685106754303,0.8688049912452698,0.01906887418781347,0.8740397542715073,0.9104177951812744,0.9613279008865357,0.01936455252477629,0.02749099432625639,0.034610391892825415,0.05025273148481029,0.05746617446950258,0.06308934535618752
10,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,11,Ae rot. torque,kNm,Aero rotor torque,11669.84800456543,17333.232421875,5846.5615234375,1372.701328508557,8393.347724609375,11617.06884765625,15079.606835937502,3428.5026168950394,3974.4553174534817,4470.311958297354,5696.555859299353,6327.246656113848,6841.534882428641
11,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,12,Ae rot. power,kW,Aero rotor power,10630.856503344727,16233.814453125,5511.06298828125,1234.814878064288,7765.94791015625,10559.69677734375,13794.514082031255,3141.9518670627212,3656.5129718304406,4129.964130489967,5317.1575651753155,5928.228850110927,6422.481035979244
12,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,13,Ae rot. thrust,kN,Aero rotor thrust,747.7372312438965,1208.39892578125,334.19158935546875,193.06229877115925,429.06983825683596,718.1750793457031,1113.2723437500001,155.34995252132578,193.20785131081104,236.323465272034,364.12995085877327,431.3874089142862,484.56229613890645
13,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,14,"WSP gl. coo.,Vx",m/s,"Free wind speed Vx, gl. coo, of gl. pos    0.00,   0.00,-119.00",5.599226230212177e-08,3.3137731552124023,-4.651525497436523,1.18833144608956,-2.809163393974304,-0.001164192392025143,2.797303559780121,1.776055798976761,2.3177286715301113,2.7781306632691867,3.8161720785374227,4.318591981332573,4.721084673030059
14,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,15,"WSP gl. coo.,Vy",m/s,"Free wind speed Vy, gl. coo, of gl. pos    0.00,   0.00,-119.00",18.836783404318492,30.193923950195312,9.625731468200684,5.015860690980251,11.177629537582398,18.62135124206543,29.440752754211427,2.268095112380627,3.634243951513072,5.033694466357125,8.480662415312057,10.122631040612175,11.391991945185122
15,res_turb/tcb/group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,group7_3B_design_A4_turb_tcb_12.0_28080.hdf5,.,16,"WSP gl. coo.,Vz",m/s,"Free wind speed Vz, gl. coo, of gl. pos    0.00,   0.00,-119.00",-1.2309467712536085e-07,3.5758495330810547,-2.6101272106170654,0.8778868843092512,-2.038833065032959,-0.0007575253257527947,1.918406165838243,1.3431629198727342,1.7191554519079122,2.04714635546866,2.8285170443439567,3.2268270993782067,3.5517144327981165
