,path,filename,subfolder,ichan,names,units,desc,mean,max,min,std,1%,50%,99%,del3,del4,del5,del8,del10,del12
0,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,1,Time,s,Time,400.00500000000005,700.0,100.01,173.20652412654667,106.0099,400.005,694.0001,56.461220696832804,101.94095564658248,145.3141021479786,247.3126644116573,295.27446240365197,332.31165620359167
1,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,2,bea1 angle,deg,shaft_rot angle,179.98544399614028,359.9981689453125,0.005093932151794434,103.92390870099138,3.59762065410614,179.97520446777344,356.40029296875,166.7652763184779,202.08743320546404,226.7983610626558,269.6807944323926,285.7155016822588,296.93332408731766
2,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,3,bea1 angle_speed,rpm,shaft_rot angle speed,5.999965532024701,6.074499607086182,5.9291181564331055,0.018429813393412584,5.958471298217773,5.999354362487793,6.049445290565491,0.03864250892363012,0.04582599407075784,0.052451914085008385,0.0687870625073473,0.07720876883608452,0.08415626940013554
3,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,4,bea2 angle,deg,pitch1 angle,1.37966252178478,2.30836820602417,-0.00021951003873255104,0.7114715034836884,4.643722058972344e-05,1.5868266224861145,2.306931972503662,0.2920245818817104,0.4754753819334085,0.6462134349517643,1.0379924294959049,1.217721418506512,1.3546787300878753
4,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,5,bea2 angle_speed,deg/s,pitch1 angle speed,-5.6070150847157646e-08,0.11138244718313217,-0.1249072328209877,0.03536332048298127,-0.08917111866176128,-7.96713720774278e-07,0.08738991886377337,0.04111036985461083,0.057651958985964404,0.07219583319161506,0.10550059663256471,0.12149965407782572,0.1342099507929206
5,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,6,bea2 angle,deg,pitch2 angle,1.379661967453624,2.308323383331299,-0.00019304279703646898,0.7114712398131646,5.073617649031803e-05,1.586860477924347,2.306931972503662,0.29201556406826995,0.4754606990999903,0.646193479672104,1.0379603759543108,1.2176838148756677,1.354636897170999
6,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,7,bea2 angle_speed,deg/s,pitch2 angle speed,-3.3147760899036406e-08,0.11135445535182953,-0.12490346282720566,0.03535973014673565,-0.08918549835681916,-2.4172604184968804e-07,0.08736175261437895,0.04105204892269182,0.0575947125593705,0.07214899899338609,0.10547806506126353,0.12148093653449091,0.13419129695140525
7,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,8,bea2 angle,deg,pitch3 angle,1.3796626953866125,2.308340549468994,-0.0002063351566903293,0.711470841352708,3.7446436181198806e-05,1.5868524312973022,2.306931972503662,0.2920194169129729,0.4754669723143713,0.646202005529735,1.0379740707727674,1.217699880959854,1.3546547702100966
8,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,9,bea2 angle_speed,deg/s,pitch3 angle speed,8.040802142185536e-08,0.11135712265968323,-0.1249038502573967,0.03536104003760137,-0.08918695114552974,1.041359155351529e-06,0.08737234801054007,0.04110534062223438,0.05764495370313075,0.07218706201337285,0.10548777925175346,0.12148489295434003,0.13419364548183393
9,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,10,Omega,rad/s,Rotor speed,0.6283156193544467,0.6357467770576477,0.6218344569206238,0.0018715728308828388,0.6244595581293106,0.628220945596695,0.6336261469125748,0.0036861213727732056,0.004480034805266956,0.005202826419297567,0.006914907043106682,0.00773654408524017,0.008381261175455774
10,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,11,Ae rot. torque,kNm,Aero rotor torque,1454.0833911070192,5611.43212890625,-117.04815673828125,1050.9904954520687,111.71750778198243,1181.6318969726562,4764.289199218751,1017.0751336965052,1356.496897964877,1694.2792011454076,2552.180162872807,2974.9288890266052,3304.5306936078005
11,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,12,Ae rot. power,kW,Aero rotor power,913.723712286069,3541.765625,-73.58976745605469,660.6575918831119,70.12524810791015,742.2664794921875,2996.816625976563,640.3540732958329,854.8593897252906,1068.4183934843948,1610.5526499106252,1877.4860266761195,2085.5408605940097
12,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,13,Ae rot. thrust,kN,Aero rotor thrust,391.49275210037234,717.4389038085938,166.50257873535156,118.00039569245696,211.24780639648438,365.42539978027344,681.0768432617188,83.04574097735808,115.07401760301238,150.30702764357983,239.25543341436978,281.1039541783583,313.2106538161609
13,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,14,"WSP gl. coo.,Vx",m/s,"Free wind speed Vx, gl. coo, of gl. pos    0.00,   0.00,-119.00",-2.8237334724205236e-08,2.440462112426758,-3.3308629989624023,0.8887948389569177,-2.4556670570373536,0.011166299693286419,1.8577638435363804,0.9905435357376055,1.3823438749976316,1.735380859473669,2.568983115295229,2.974894214153271,3.295526107574393
14,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,15,"WSP gl. coo.,Vy",m/s,"Free wind speed Vy, gl. coo, of gl. pos    0.00,   0.00,-119.00",5.000000005551179,8.56235408782959,1.3879687786102295,1.3295733007005202,2.1442395138740538,4.9416704177856445,8.420130252838135,0.9861887325704298,1.5177729240670856,2.027056527970195,3.22754741500942,3.7846891816160273,4.210012467841904
15,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,16,"WSP gl. coo.,Vz",m/s,"Free wind speed Vz, gl. coo, of gl. pos    0.00,   0.00,-119.00",-5.848973632964771e-08,2.1530251502990723,-1.8798102140426636,0.6592550841461198,-1.452213933467865,-0.030418953858315945,1.5960007107257845,0.7885530442408644,1.059359623284258,1.29906650359014,1.854798963503694,2.123761794830107,2.337145707816389
16,A5 Individual design\Part 4\tcb\individual_design_control_turb_tcb_05.0_14662.hdf5,individual_design_control_turb_tcb_05.0_14662.hdf5,.,17,"WSP gl. coo.,Abs_vhor",m/s,"Free wind speed Abs_vhor, gl. coo, of gl. pos    0.00,   0.00,-119.00",5.083721832638979,8.594008445739746,1.3882511854171753,1.3089996035210403,2.222006075382233,5.01731538772583,8.453473196029664,0.9834476369185526,1.5169562798701197,2.0306070134829044,3.2407433942080246,3.8010018392177027,4.228362981951685
